tokens,vocab_size
20823295,1009
20841557,1010
20868812,1011
20886294,1012
20905256,1013
20911538,1014
20956902,1015
20972510,1016
21045541,1017
21134558,1018
21203580,1019
21223062,1020
21249302,1021
21264212,1022
21290865,1023
21290944,1024
21292585,1025
21314303,1026
21349235,1027
21350421,1028
21366311,1029
21382789,1030
21396903,1031
21401170,1032
21457818,1033
21527248,1034
21571445,1035
21641092,1036
21646613,1037
21657875,1038
21692671,1039
21769748,1040
21775923,1041
21812695,1042
21832012,1043
21832693,1044
21875261,1045
21907897,1046
21926854,1047
21927275,1048
21936220,1049
21994324,1050
22059923,1051
22071528,1052
22074346,1053
22107601,1054
22155755,1055
22155916,1056
22156009,1057
22157201,1058
22157644,1059
22167975,1060
22206434,1061
22215513,1062
22226274,1063
22293842,1064
22308210,1065
22312142,1066
22313373,1067
22325175,1068
22355169,1069
22355861,1070
22363872,1071
22370982,1072
22380343,1073
22389970,1074
22409616,1075
22412858,1076
22416030,1077
22421756,1078
22426729,1079
22431153,1080
22431859,1081
22436505,1082
22443572,1083
22445155,1084
22454672,1085
22456027,1086
22457133,1087
22463298,1088
22463605,1089
22465462,1090
22480887,1091
22485507,1092
22517402,1093
22523092,1094
22530373,1095
22534537,1096
22539067,1097
22540957,1098
22540985,1099
22552164,1100
22553174,1101
22553814,1102
22557799,1103
22569106,1104
22569111,1105
22569200,1106
22590830,1107
22593327,1108
22595603,1109
22603778,1110
22604235,1111
22604693,1112
22605651,1113
22611710,1114
22616286,1115
22618703,1116
22623641,1117
22639643,1118
22645120,1119
22647494,1120
22669785,1121
22676800,1122
22688382,1123
22714338,1124
22717731,1125
22718865,1126
22727270,1127
22732408,1128
22734908,1129
22735839,1130
22741097,1131
22741529,1132
22750318,1133
22820529,1134
22851507,1135
22851581,1136
22853909,1137
22884557,1138
22885383,1139
22910322,1140
22948234,1141
22948426,1142
22969485,1143
22970021,1144
22974641,1145
22985932,1146
23002757,1147
23003524,1148
23005027,1149
23010234,1150
23012239,1151
23016873,1152
23019569,1153
23072612,1154
23074264,1155
23075511,1156
23077328,1157
23079330,1158
23086078,1159
23089482,1160
23103428,1161
23111650,1162
23116912,1163
23117141,1164
23124330,1165
23126776,1166
23137626,1167
23151299,1168
23154177,1169
23155419,1170
23167693,1171
23175220,1172
23176421,1173
23185484,1174
23185569,1175
23190618,1176
23192097,1177
23204234,1178
23207332,1179
23218610,1180
23221967,1181
23224112,1182
23232519,1183
23238987,1184
23264738,1185
23272139,1186
23289817,1187
23293657,1188
23293688,1189
23295220,1190
23314370,1191
23319200,1192
23330056,1193
23330125,1194
23330181,1195
23352218,1196
23357066,1197
23364551,1198
23371397,1199
23376669,1200
23376834,1201
23378869,1202
23387647,1203
23396883,1204
23422411,1205
23459896,1206
23466329,1207
23496132,1208
23496851,1209
23503232,1210
23516387,1211
23519999,1212
23520527,1213
23529801,1214
23534245,1215
23546411,1216
23560990,1217
23561236,1218
23569092,1219
23571320,1220
23579741,1221
23580314,1222
23585972,1223
23588403,1224
23603997,1225
23616287,1226
23626506,1227
23633252,1228
23633840,1229
23638927,1230
23639117,1231
23643480,1232
23644951,1233
23650342,1234
23653352,1235
23666398,1236
23666795,1237
23667225,1238
23707784,1239
23708695,1240
23715625,1241
23730020,1242
23730392,1243
23737834,1244
23737864,1245
23743700,1246
23748418,1247
23750492,1248
23758632,1249
23758897,1250
23770480,1251
23770770,1252
23774924,1253
23775318,1254
23775543,1255
23779419,1256
23781468,1257
23784323,1258
23787038,1259
23790132,1260
23829988,1261
23835242,1262
23877500,1263
23880059,1264
23884252,1265
23885901,1266
23923817,1267
23937099,1268
23944680,1269
23944773,1270
23945536,1271
23949258,1272
23964646,1273
23969586,1274
23971182,1275
23977933,1276
23995019,1277
23997699,1278
24004411,1279
24004666,1280
24012710,1281
24034683,1282
24036357,1283
24038331,1284
24055214,1285
24058948,1286
24059278,1287
